
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             1525centroid  

                0.                 3.70321E-12
                1.E-03            14.0421E-03 
                2.E-03            45.9137E-03 
                3.5E-03          299.091E-03  
                5.75E-03           1.08938    
                6.59375E-03        1.46954    
                7.85938E-03        2.09719    
                8.33398E-03        2.34217    
                8.51196E-03        2.43056    
                8.77893E-03        2.53644    
                9.0459E-03         2.69626    
                9.31287E-03        2.88489    
                9.57983E-03        3.05145    
                9.8468E-03         3.21161    
               10.2473E-03         3.26542    
               10.8479E-03         3.13059    
               11.7489E-03         2.91502    
               13.1005E-03         2.62889    
               15.1278E-03         2.27624    
               18.1687E-03         1.89148    
               22.7301E-03         1.55284    
               23.8704E-03         1.49663    
               25.0108E-03         1.45308    
               26.7213E-03         1.40541    
               29.2871E-03         1.3668     
               33.1358E-03         1.36647    
               38.9088E-03         1.4564     
               47.5683E-03         1.71472    
               60.5576E-03         2.24747    
               80.0415E-03         3.20634    
              109.267E-03          4.8655     
              153.106E-03          8.12724    
              218.864E-03         14.8997     
              317.502E-03         29.4688     
              417.502E-03         50.1493     
              517.502E-03         77.444      
              617.502E-03        112.112      
              717.502E-03        154.927      
              817.502E-03        206.671      
              917.502E-03        267.944      
                1.               326.61       
                1.               326.61       
                1.001            326.911      
                1.002            326.563      
                1.0035           325.764      
                1.00575          324.588      
                1.00912          323.122      
                1.01419          321.658      
                1.02178          321.145      
                1.03317          324.206      
                1.05026          337.5        
                1.07589          377.565      
                1.11433          481.122      
                1.172            723.901      
                1.25849            1.25106E+03
                1.35849            2.22695E+03
                1.45849            4.1256E+03 
                1.55849            7.56656E+03
                1.65849           12.7626E+03 
                1.75849           19.464E+03  
                1.85849           29.8365E+03 
                1.86474           30.1746E+03 
                1.86631           30.1694E+03 
                1.86865           29.9476E+03 
                1.87216           26.9996E+03 
                1.87568           17.2148E+03 
                1.87656           15.1455E+03 
                1.87744           13.3323E+03 
                1.87876           11.1907E+03 
                1.87925           10.5408E+03 
                1.87999            9.7559E+03 
                1.8811             8.90568E+03
                1.88152            8.6449E+03 
                1.88215            8.33659E+03
                1.88309            8.00506E+03
                1.88449            7.70341E+03
                1.88661            7.48497E+03
                1.88977            7.36647E+03
                1.89294            7.33534E+03
                1.89611            7.34366E+03
                1.90086            7.38629E+03
                1.90799            7.46733E+03
                1.91868            7.596E+03  
                1.93471            7.78784E+03
                1.95877            8.07058E+03
                1.98282            8.35313E+03
                2.                 8.55771E+03
                2.                 8.55771E+03
                2.025              8.19866E+03
                2.05               7.87708E+03
                2.075              7.57231E+03
                2.1                7.27302E+03
                2.1375             6.83188E+03
                2.19375            6.18746E+03
                2.27813            5.26062E+03
                2.37812            4.22636E+03
                2.47813            3.26542E+03
                2.57813            2.38508E+03
                2.67812            1.59589E+03
                2.77813          918.545      
                2.87812          397.606      
                2.97813          125.821      
                3.               112.838      




