
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             2615centroid  

                0.                 2.77741E-12
                1.E-03            95.6732E-03 
                2.E-03           206.082E-03  
                3.5E-03          277.685E-03  
                5.75E-03         427.373E-03  
                6.59375E-03      519.783E-03  
                7.85938E-03      697.501E-03  
                8.33398E-03      774.515E-03  
                8.51196E-03      803.506E-03  
                8.77893E-03      840.723E-03  
                9.0459E-03       893.822E-03  
                9.31287E-03      956.616E-03  
                9.57983E-03        1.01427    
                9.8468E-03         1.07108    
               10.2473E-03         1.09782    
               10.8479E-03         1.07224    
               11.7489E-03         1.04064    
               13.1005E-03         1.02826    
               15.1278E-03         1.08061    
               18.1687E-03         1.29141    
               22.7301E-03         1.82884    
               23.8704E-03         1.99846    
               25.0108E-03         2.1782     
               26.7213E-03         2.46608    
               29.2871E-03         2.93376    
               33.1358E-03         3.70089    
               38.9088E-03         4.96194    
               47.5683E-03         7.02203    
               60.5576E-03        10.3494     
               80.0415E-03        15.6794     
              109.267E-03         23.2715     
              153.106E-03         32.6483     
              218.864E-03         50.0447     
              317.502E-03         85.7233     
              417.502E-03        136.554      
              517.502E-03        205.081      
              617.502E-03        294.268      
              717.502E-03        407.043      
              817.502E-03        546.311      
              917.502E-03        715.262      
                1.               878.415      
                1.               878.415      
                1.001            874.418      
                1.002            869.418      
                1.0035           861.628      
                1.00575          850.052      
                1.00912          833.157      
                1.01419          808.95       
                1.02178          775.334      
                1.03317          731.406      
                1.05026          681.56       
                1.07589          647.5        
                1.11433          701.459      
                1.172              1.04584E+03
                1.25849            2.13998E+03
                1.35849            4.02222E+03
                1.45849            6.09262E+03
                1.55849            7.77642E+03
                1.65849            8.5055E+03 
                1.75849            7.93437E+03
                1.85849           10.6617E+03 
                1.86474           13.7315E+03 
                1.86631           14.7948E+03 
                1.86865           17.3621E+03 
                1.87216           25.189E+03  
                1.87568           17.8276E+03 
                1.87656           14.9213E+03 
                1.87744           12.4504E+03 
                1.87876            9.71223E+03
                1.87925            8.98482E+03
                1.87999            8.11919E+03
                1.8811             7.24351E+03
                1.88152            7.01903E+03
                1.88215            6.75173E+03
                1.88309            6.48117E+03
                1.88449            6.26953E+03
                1.88661            6.18879E+03
                1.88977            6.23874E+03
                1.89294            6.31356E+03
                1.89611            6.37321E+03
                1.90086            6.43971E+03
                1.90799            6.52243E+03
                1.91868            6.63277E+03
                1.93471            6.78452E+03
                1.95877            6.99648E+03
                1.98282            7.19904E+03
                2.                 7.33938E+03
                2.                 7.33938E+03
                2.025              7.21777E+03
                2.05               7.05355E+03
                2.075              6.87485E+03
                2.1                6.69469E+03
                2.1375             6.42443E+03
                2.19375            6.01875E+03
                2.27813            5.407E+03  
                2.37812            4.67132E+03
                2.47813            3.9151E+03 
                2.57813            3.13565E+03
                2.67812            2.33301E+03
                2.77813            1.52527E+03
                2.87812          776.218      
                2.97813          264.905      
                3.               218.135      




