
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             3251centroid  

                0.                 3.70321E-12
                1.E-03            97.5871E-03 
                2.E-03           242.105E-03  
                3.5E-03          409.905E-03  
                5.75E-03         738.983E-03  
                6.59375E-03      909.046E-03  
                7.85938E-03        1.21627    
                8.33398E-03        1.34561    
                8.51196E-03        1.39414    
                8.77893E-03        1.45762    
                9.0459E-03         1.5454     
                9.31287E-03        1.64697    
                9.57983E-03        1.74031    
                9.8468E-03         1.83215    
               10.2473E-03         1.88466    
               10.8479E-03         1.86443    
               11.7489E-03         1.83403    
               13.1005E-03         1.81944    
               15.1278E-03         1.86211    
               18.1687E-03         2.05039    
               22.7301E-03         2.5513     
               23.8704E-03         2.71218    
               25.0108E-03         2.88516    
               26.7213E-03         3.16555    
               29.2871E-03         3.62873    
               33.1358E-03         4.40675    
               38.9088E-03         5.72917    
               47.5683E-03         7.98989    
               60.5576E-03        11.8617     
               80.0415E-03        18.5196     
              109.267E-03         29.0616     
              153.106E-03         44.4438     
              218.864E-03         74.7886     
              317.502E-03        139.637      
              417.502E-03        233.346      
              517.502E-03        359.743      
              617.502E-03        523.419      
              717.502E-03        728.931      
              817.502E-03        980.827      
              917.502E-03          1.28385E+03
                1.                 1.57512E+03
                1.                 1.57512E+03
                1.001              1.57081E+03
                1.002              1.56498E+03
                1.0035             1.55555E+03
                1.00575            1.54132E+03
                1.00912            1.52029E+03
                1.01419            1.48961E+03
                1.02178            1.44568E+03
                1.03317            1.38474E+03
                1.05026            1.30545E+03
                1.07589            1.21712E+03
                1.11433            1.16379E+03
                1.172              1.29084E+03
                1.25849            2.00177E+03
                1.35849            3.62107E+03
                1.45849            6.05306E+03
                1.55849            9.22212E+03
                1.65849           13.0253E+03 
                1.75849           17.2139E+03 
                1.85849           19.2191E+03 
                1.86474           17.1758E+03 
                1.86631           16.3578E+03 
                1.86865           14.2644E+03 
                1.87216            6.44759E+03
                1.87568           25.1353E+03 
                1.87656           25.1245E+03 
                1.87744           22.3407E+03 
                1.87876           16.2583E+03 
                1.87925           14.1589E+03 
                1.87999           11.5652E+03 
                1.8811             8.90083E+03
                1.88152            8.21374E+03
                1.88215            7.45958E+03
                1.88309            6.79383E+03
                1.88449            6.4384E+03 
                1.88661            6.52479E+03
                1.88977            6.94727E+03
                1.89294            7.33325E+03
                1.89611            7.61946E+03
                1.90086            7.91186E+03
                1.90799            8.2131E+03 
                1.91868            8.52775E+03
                1.93471            8.8588E+03 
                1.95877            9.22896E+03
                1.98282            9.54823E+03
                2.                 9.76235E+03
                2.                 9.76235E+03
                2.025              9.59191E+03
                2.05               9.35222E+03
                2.075              9.0857E+03 
                2.1                8.81608E+03
                2.1375             8.41137E+03
                2.19375            7.80477E+03
                2.27813            6.89651E+03
                2.37812            5.82421E+03
                2.47813            4.75803E+03
                2.57813            3.70752E+03
                2.67812            2.686E+03  
                2.77813            1.72332E+03
                2.87812          886.606      
                2.97813          332.188      
                3.               276.32       




